Unnamed: 0,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Unnamed: 63
Netherlands,6.9493920000000005,7.390592999999999,7.706715999999999,8.075177,8.775186,9.298697,9.78633,10.222334,10.583287,11.335177999999999,12.058883,13.484309999999999,16.065535999999998,20.115612,22.823321,26.724413000000002,27.857669,32.012299,38.240798999999996,42.942078,45.721335,38.383957,37.806804,36.120191,32.573859,32.026443,43.478983,52.209154000000005,54.21302300000001,51.215725,60.583021,60.838727999999996,66.294951,63.770291,66.434876,76.871005,74.073507,65.64478700000001,65.929677,64.100738,57.319677999999996,58.022296,63.35434599999999,77.579794,86.435296,88.190892,91.271805,101.603007,109.508171,105.95751899999999,101.715858,107.011488,100.34734700000001,104.97582999999999,105.16169900000001,88.61922,88.771125,91.630354,98.276718,96.03936,100.0,106.27318400000001,Netherlands
New Zealand,9.558812,9.31469,9.853251,10.242690999999999,10.608564,11.063016000000001,10.441249,11.05106,9.90163,9.774308,10.617765,12.358802,14.254543,17.512772,18.613871,18.316738,18.228317,20.721052,25.05437,27.780299000000003,30.498513,31.406404,31.015405,29.743722,27.255171,27.017381,35.104764,43.76589,52.045361,49.817116999999996,51.186701,49.805019,47.185963,48.430195999999995,53.557373,60.476853,64.760438,62.502168999999995,51.140368,50.77754100000001,44.594302,43.07638,47.745211,60.719091999999996,71.722682,78.057819,73.623544,87.033338,85.128457,77.638228,92.068299,103.761893,106.071807,110.877942,114.73066700000001,96.673559,98.282209,103.649933,102.139743,99.481274,100.0,112.966565,New Zealand
Norway,8.687706,8.906699999999999,9.337489,9.638494,10.082061000000001,10.574239,10.994809,11.321100000000001,11.834182,12.328289,13.902691,14.998251000000002,16.905568000000002,21.063369,24.370815,28.049397,28.932331,32.075214,34.559711,37.818985999999995,43.875052,42.656695,41.885154,39.613043,37.615992999999996,37.575610999999995,43.44525,51.11243399999999,55.407004,55.242851,63.258822,62.40834400000001,64.697154,57.972232999999996,58.19274800000001,66.781696,68.33151,64.128426,59.692631,61.616278,63.018062,62.674098,69.428484,80.562955,89.56455199999999,101.90838099999999,111.29848799999999,125.47245899999999,142.196579,122.522335,134.85887400000001,155.212882,154.600493,156.8488,146.723489,111.384654,105.35428200000001,111.227774,120.61229399999999,110.98582400000001,100.0,126.03475399999999,Norway
Poland,12.424414,12.716859,13.203285000000001,13.567034,13.891734,14.203204,14.527801000000002,14.64522,15.224101000000001,15.647907,15.924013,16.955294000000002,18.808342,21.394961000000002,23.706898000000002,26.967648999999998,27.919240000000002,30.278311000000002,34.624791,39.158489,42.486701,41.312667,40.485912,40.408319,39.573166,39.859635,48.524116,55.905393999999994,60.082159999999995,60.085725000000004,16.197548,25.147664,34.861067,45.543472,49.870567,59.817761999999995,63.291121,59.29549899999999,61.808527999999995,57.713979,56.505947,62.142487,63.722058000000004,67.407242,75.322064,87.208164,92.445933,107.61264800000001,126.486725,103.19758699999998,108.19990399999999,113.71205,106.03876699999999,109.45431599999999,110.21042800000001,93.10459300000001,89.276815,94.902464,100.508054,97.55648500000001,100.0,104.94422999999999,Poland
Portugal,8.144373,8.303097,8.301699,8.47899,8.607099999999999,8.951188,9.421215,9.78022,9.967124,10.749973,10.950334,11.65381,13.12171,15.917957999999999,18.268613000000002,21.040518,20.675164,20.605147,21.943474,23.542963,27.840467000000004,26.603862,24.884672,22.220695,20.967626,21.987356,30.372120000000002,35.191522,38.264059,38.746461,48.394952,52.522557000000006,62.68564,56.474707,58.621348,67.142208,66.84015,61.133238,61.71391200000001,61.076358,54.63519,55.065377000000005,60.37494100000001,74.860939,84.295425,87.137387,90.803877,101.970438,109.30884999999999,106.69271,102.129977,106.929506,98.464221,103.99329399999999,104.656553,89.265651,90.516901,93.667005,99.84474800000001,96.360086,100.0,104.683894,Portugal
Slovak Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.669277,37.767271,44.719784000000004,45.354684,43.338514,43.355771999999995,39.595917,38.788561,39.019383000000005,43.251102,56.144002,67.701026,72.085531,77.64571500000001,94.333623,110.49199999999999,109.405431,104.61263000000001,111.661096,104.522644,108.51408199999999,108.233614,90.293003,89.552392,92.398517,98.706739,95.958389,100.0,106.082278,Slovak Republic
Slovenia,12.424414,12.716859,13.203285000000001,13.567034,13.891734,14.203204,14.527801000000002,14.64522,15.224101000000001,15.647907,15.924013,16.955294000000002,18.808342,21.394961000000002,23.706898000000002,26.967648999999998,27.919240000000002,30.278311000000002,34.624791,39.158489,42.486701,41.312667,40.485912,40.408319,39.573166,39.859635,48.524116,55.905393999999994,60.082159999999995,60.085725000000004,66.277332,68.86100400000001,72.635673,70.942959,74.279663,82.763343,78.41197100000001,73.325977,71.86181,72.95187899999999,70.309222,66.868566,69.337264,78.466189,85.156891,84.674366,87.37186799999999,99.292152,109.291734,109.104533,102.703995,108.93765099999999,101.186734,106.19109399999999,106.60459300000001,90.022643,90.528368,93.63471799999999,100.108146,97.041725,100.0,106.310218,Slovenia
Spain,6.0811209999999996,6.187519,6.518467,7.029796000000001,7.549835000000001,8.240160000000001,8.908786000000001,9.485897999999999,8.777361,9.223887,9.782137,10.620633,12.46618,15.418696,18.039576,21.152957,21.131982,22.955744,27.448620000000002,36.658282,38.931106,34.001637,32.452569,27.778266000000002,27.486632,28.224458000000002,38.023063,45.647303,51.280541,53.928206,67.218613,70.506777,76.364201,64.242086,63.389151,71.463572,72.766025,64.44901899999999,64.789204,63.549237000000005,56.79763,57.461306,62.938291,78.421412,89.583184,93.291707,97.966124,110.49437,119.047676,115.101588,109.64411899999999,115.079306,106.259725,110.195987,109.876903,92.363771,92.375101,95.389905,101.114274,97.158631,100.0,105.395802,Spain
Sweden,12.664397,13.038921,13.5939,13.880238,14.596253,15.450332,16.362412000000003,17.273743,17.665972,18.263118,19.14826,20.823339,23.892343,27.970938,30.069512999999997,36.778597000000005,39.215888,42.14464,45.800059,52.091770999999994,58.986327,53.62591799999999,46.683153,42.057787000000005,41.953908,42.932994,55.122294000000004,64.856061,71.50309,73.369777,87.48365799999999,92.707324,97.226985,74.328559,76.967111,86.38111,92.815937,82.702076,80.11346999999999,77.797055,71.203818,64.622645,69.784864,85.38511199999999,94.343395,93.376656,96.244597,107.93440199999999,112.751946,100.98450299999999,108.10740100000001,121.285117,117.34543500000001,123.10618799999999,118.88955800000001,98.861421,98.926664,101.08529100000001,101.771503,95.89755199999999,100.0,110.676083,Sweden
Switzerland,4.872683,5.070196,5.35956,5.62289,5.924796000000001,6.137838,6.437911000000001,6.725111,6.944301,7.130144,7.471689,8.542465,10.107003,13.171854999999999,14.985833000000001,18.521523000000002,19.653607,20.491308,28.536767,31.293295999999998,31.892939999999996,28.702262,29.825453000000003,29.556538999999997,27.410182,26.809546,37.749411,46.498799000000005,48.713921,45.092804,55.549757,56.69224200000001,59.05284400000001,57.494086,62.895607,73.301617,70.286434,59.625884,59.494362,57.41192,51.830959,52.371992,56.596985,66.269987,71.940768,72.459113,73.582416,78.680741,87.33546100000001,88.730124,92.538104,108.765199,102.89519,104.054105,104.771094,98.412052,95.584839,95.258614,96.649731,94.993943,100.0,103.979626,Switzerland
