iso_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BFA,69.811,72.577,74.795,75.906,75.975,78.816,78.293,80.245,87.595,89.702,93.092,99.365,105.152,102.913,102.275,100,102.517,104.568,107.053,103.854,106.181
BDI,59.95,68.435,70.553,76.134,87.029,100,102.846,111.354,138.32,152.275,165.867,179.741,205.43,221.773,233.538,283.361,286.083,318.837,309.747,307.772,326.265
CPV,91.916,93.123,92.826,94.473,93.885,94.473,97.353,100,103.546,105.798,106.332,109.178,109.782,111.35,111.186,113.117,112.855,113.628,115.359,116.009,117.057
KHM,100.382,102.647,103.379,105.237,110.313,117.017,122.436,130.416,146.397,150.063,154.746,159.952,162.256,163.524,167.828,170.714,176.762,182.513,187.058,191.761,195.286
CMR,94.004,95.377,97.134,97.324,99.257,100,103.359,104.349,111.249,113.079,115.239,118.316,121.476,123.956,126.555,126.78,128.168,130.068,132.149,134.802,136.552
CAN,76.412,77.679,78.642,81.201,83.854,86.473,88.699,91.605,95.258,93.053,95.705,98.802,100,101.738,103.716,102.807,103.582,106.239,108.105,109.913,110.828
CAF,87.043,90.782,92.392,95.305,95.577,100,102.986,103.568,109.256,113.483,118.262,123.003,130.606,133.855,149.776,153.831,158.416,168.624,170.831,174.862,178.282
TCD,63.804,72.607,73.992,74.035,81.256,100,109.924,113.691,123.445,111.741,118.665,128.645,130.381,124.948,125.902,115.866,114.594,113.65,116.267,118.067,114.803
CHL,53.548,55.641,57.536,60.176,64.915,69.886,78.402,82.525,82.397,86.205,93.99,96.945,98.056,100.02,105.911,111.169,116.092,121.684,124.539,126.951,137.454
CHN,57.58,58.767,59.23,60.793,64.93,67.829,70.41,76.021,81.521,81.496,86.409,93.545,96.558,99.119,100.052,100.064,100.921,104.865,108.545,110.966,111.271
COL,48.069,51.203,54.259,57.964,62.185,65.641,69.454,73.067,78.677,81.874,84.989,90.417,93.688,95.475,97.609,100,105.148,110.546,115.665,120.304,122.024
COM,76.78,82.462,85.614,89.835,90.227,89.858,95.206,100,103.144,104.161,105.906,109.132,113.792,115.786,116.753,115.968,117.802,117.865,118.996,124.458,125.958
COD,28.001,48.458,63.829,72.392,77.001,100,113.325,136.298,164.192,217.813,263.089,299.373,317.156,325.945,329.184,325.379,339.53,485.761,630.726,657.139,745.338
COG,77.448,70.228,72.477,69.658,83.818,100,111.38,118.887,138.23,108.973,141.03,156.478,174.26,172.335,161.03,132.697,127.299,142.655,175.78,174.678,151.651
CRI,27.127,29.764,32.677,36.157,40.984,46.317,52.331,57.835,64.442,70.693,75.38,78.842,82.574,86.364,91.725,95.353,97.221,100,102.614,104.883,105.433
CIV,59.304,63.69,67.936,71.198,69.14,70.04,71.261,73.351,79.588,81.455,85.843,88.673,90.315,93.338,96.987,100,97.902,96.103,96.713,96.907,97.489
HRV,66.999,69.883,72.579,75.697,78.43,80.884,84.001,87.529,92.392,95.139,96.017,97.598,99.038,99.775,99.917,100,99.902,101.063,103.084,104.63,105.672
CYP,75.838,78.614,78.847,83.094,85.346,87.07,89.756,93.471,97.896,98.153,100,101.617,103.319,102.344,100.977,100.375,99.816,100.894,102.124,103.026,102.301
CZE,76.829,80.585,82.781,83.851,87.246,87.329,87.9,91.012,92.841,95.244,93.886,93.867,95.229,96.528,99.017,100,101.141,102.463,105.095,109.158,112.672
