iso_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
LKA,38.171,43.565,47.207,49.638,54.007,59.634,66.359,75.668,88.022,93.198,100,103.831,115.075,122.252,125.812,126.628,132.761,142.407,147.857,151.901,157.104
KNA,78.874,81.502,84.336,85.743,89.038,87.589,100,106.324,109.196,113.292,115.862,122.403,122.537,121.993,125.275,124.887,127.768,133.806,131.815,135.015,132.822
LCA,62.204,61.622,61.883,65.121,65.588,70.11,73.703,76.162,78.14,77.605,81.911,82.901,84.676,89.798,93.448,96.462,95.911,99.321,100,100.992,99.222
VCT,86.831,92.649,93.593,90.659,94.297,97.077,100,108.409,108.431,107.49,112.258,111.888,113.105,115.601,115.245,118.059,118.78,120.298,120.594,122.269,121.711
SDN,230.18,249.963,277.133,304.292,356.872,421.283,453.521,522.941,569.436,580.04,711.533,898.87,"1,169.69","1,595.78","2,139.42","2,412.21","3,425.09","3,963.54","6,411.41","9,744.48","25,746.31"
SUR,30.036,40.61,53.256,65.208,73.868,84.205,93.961,100,115.522,123.012,131.867,150.125,166.228,166.87,169.523,166.003,209.435,254.302,266.158,283.105,367.645
SWE,71.793,73.576,74.715,75.985,76.238,76.761,78.11,80.318,82.916,84.872,85.676,86.609,87.476,88.287,89.827,91.733,93.132,95.121,97.401,100,101.394
CHE,92.386,93.296,93.044,94.123,94.4,95.33,97.38,99.688,101.137,101.555,101.885,101.9,101.865,101.839,101.234,100,99.432,99.055,99.76,99.686,99.097
SYR,100,102.869,107.522,105.444,116.332,130.234,142.081,157.382,182.485,177.41,189.955,,,,,,,,,,
TWN,104.718,104.056,103.635,102.176,101.413,99.888,98.643,98.129,95.538,95.656,94.429,92.39,93.016,94.428,96.003,99.254,100,99.155,98.568,98.634,99.915
TJK,"2,422.87","3,057.03","3,730.63","4,815.74","5,635.19","6,176.44","7,432.52","9,502.89","12,135.44","13,678.73","15,386.08","17,436.83","19,506.41","20,353.97","21,467.49","21,494.18","22,628.18","23,696.56","24,886.30","26,011.92","26,561.32"
TZA,27.196,28.639,30.672,33.264,35.6,37.888,44.129,46.748,54.199,59.219,64.695,72.164,79.916,87.641,92.944,100,107.472,110.298,112.041,113.572,117.547
THA,96.487,98.338,100,102.15,105.796,111.182,116.857,119.747,125.895,126.14,131.288,136.202,138.802,141.271,143.308,144.343,148.148,150.963,153.125,154.558,152.952
TLS,44.114,49.315,51.972,55.501,49.681,50.581,51.781,56.189,60.295,61.446,68.101,76.985,79.019,94.081,93.416,100,100.155,101.196,99.752,105.169,106.422
TGO,70.906,72.066,75.689,73.498,72.095,76.338,75.952,79.734,89.128,90.538,91.11,92.095,93.669,95.284,95.213,98.527,100.001,99.566,100.929,102.462,103.601
TON,39.679,41.673,44.855,49.967,54.118,58.442,69.129,72.202,75.483,79.238,85.372,85.779,89.376,87.257,87.267,91.878,94.685,100,105.141,113.207,113.481
TTO,54.436,56.108,53.592,59.411,65.091,73.786,74.485,84.472,104.467,76.422,85.908,99.083,100,103.744,105.482,93.479,92.876,97.319,102.746,101.723,102.336
TUN,70.559,73.321,74.996,77.009,79.591,82.914,86.093,87.924,93.498,96.325,99.999,104.279,109.29,113.527,118.759,122.919,128.739,134.863,145.511,155.893,165.451
TUR,23.325,35.683,49.09,60.523,68.045,72.866,79.698,84.639,94.835,100,107.009,115.785,124.379,132.19,141.959,153.095,165.543,183.723,214.01,243.771,279.609
TKM,31.59,36.226,39.265,44.032,47.707,51.055,57.313,62.628,100,109.727,112.299,126.716,137.256,138.884,139.755,132.612,126.16,124.307,125.811,131.285,136.379
TUV,83.901,88.982,92,94.001,99.327,100,104.082,103.936,107.529,108.251,111.002,111.905,112.8,115.029,120.692,126.289,136.042,137.594,146.919,151.974,155.606
UGA,33.887,33.6,34.555,36.823,39.532,40.97,44.48,48.179,55.755,65.474,66.888,80.185,87.515,90.88,92.843,91.331,99.596,101.418,106.289,107.928,112.615
UKR,10.23,10.873,11.449,12.386,14.281,17.718,20.344,24.994,32.261,36.32,41.283,47.148,50.831,53.02,61.466,85.379,100,122.041,140.879,152.332,163.677
ARE,52.426,51.472,53.389,55.557,60.274,70.227,78.633,88.448,104.817,88.889,100,113.165,115.698,114.694,113.656,96.063,92.927,98.033,106.078,104.063,93.053
GBR,69.443,70.218,71.696,73.394,75.254,77.286,79.456,81.601,84.114,85.474,86.848,88.643,90.111,91.715,93.303,93.92,95.941,97.8,100,102.114,107.974
USA,78.078,79.79,81.052,82.557,84.78,87.421,90.066,92.486,94.285,95.004,96.111,98.118,100,101.755,103.638,104.624,105.722,107.71,110.296,112.265,113.626
URY,28.597,29.858,33.379,38.322,42.341,42.889,45.691,49.994,54.006,58.19,61.045,66.545,72.24,78.13,85.453,93.157,100,104.987,112.443,122.605,133.018
UZB,5.074,7.367,10.715,13.578,15.757,19.124,23.193,28.759,35.333,42.467,50.513,61.364,70.879,79.2,90.563,100,108.746,129.877,165.555,196.297,219.647
VUT,87.369,90.536,93.138,93.882,95.869,96.272,100,105.777,113.353,116.249,117.958,121.248,120.685,124.308,126.051,133.436,135.54,142.81,147.391,151.186,153.907
VEN,194.22,209.752,279.013,376.488,504.321,653.618,770.643,889.695,"1,157.78","1,248.46","1,822.04","2,334.93","2,663.21","3,608.72","5,068.10","14,329.10","60,369.35","511,965.78","335,204,893.79","67,061,172,557.64","1,646,450,528,981.40"
VNM,39.596,40.368,41.965,44.763,52.759,57.533,62.463,68.479,84.005,89.227,100,121.414,132.435,137.784,142.879,140.427,142.982,149.22,154.956,158.367,159.079
WBG,63.568,67.106,76.722,72.18,67.588,67.712,70.856,68.443,69.946,78.078,84.036,84.78,93.982,93.056,95.596,100,100.072,96.818,96.284,99.266,97.514
YEM,607.043,623.726,678.064,751.921,858.042,"1,017.07","1,155.27","1,281.06","1,542.11","1,407.87","1,740.35","2,055.59","2,176.73","2,377.19","2,547.47","3,731.44","3,736.46","4,429.71","5,087.68","5,425.25","6,760.62"
ZMB,23.628,29.614,35.356,41.582,49.78,58.069,66.513,75.14,83.135,87.757,100,111.112,118.881,130.449,137.54,146.701,166.582,183.4,196.992,212.029,248.389
ZWE,59.074,58.841,60.865,64.795,68.345,70.547,65.836,65.167,67.098,90.042,93.727,96.115,99.994,109.379,109.099,109.747,113.537,143.003,216.488,882.182,"6,444.54"
